title,english_title,type,episodes,duration,source,season,genres,tags,score,start_date,country_of_origin,complete_duration
Dragon Ball,Dragon Ball,TV,153.0,25.0,MANGA,WINTER,Action;Adventure;Comedy;Fantasy;Sci-Fi;Supernatural,Shounen;Martial Arts;Super Power;Travel;Coming of Age;Male Protagonist;Orphan;Battle Royale;Cultivation;Dragons,78.0,1986-02-26,JP,3825.0
Dragon Ball: Shen Long no Densetsu,Dragon Ball: Curse of the Blood Rubies,MOVIE,1.0,50.0,MANGA,FALL,Action;Adventure;Comedy,Shounen;Super Power;Martial Arts;Male Protagonist;Aviation;Travel,63.0,1986-12-20,JP,50.0
Dragon Ball: Majinjou no Nemuri Hime,Dragon Ball: Sleeping Princess in Devil's Castle,MOVIE,1.0,45.0,MANGA,SUMMER,Action;Adventure;Comedy;Supernatural,Shounen;Super Power;Martial Arts;Vampire;Male Protagonist,62.0,1987-07-18,JP,45.0
Tonari no Totoro,My Neighbor Totoro,MOVIE,1.0,86.0,ORIGINAL,SPRING,Adventure;Fantasy;Slice of Life;Supernatural,Family Life;Primarily Child Cast;Rural;Youkai;Wilderness;Female Protagonist;Urban Fantasy;Kids;Gods;Primarily Female Cast,80.0,1988-04-16,JP,86.0
Dragon Ball: Makafushigi Daibouken,Dragon Ball: Mystical Adventure,MOVIE,1.0,45.0,MANGA,SUMMER,Action;Adventure;Comedy;Sci-Fi,Shounen;Martial Arts;Super Power;Dragons;Male Protagonist,63.0,1988-07-09,JP,45.0
AKIRA,Akira,MOVIE,1.0,125.0,MANGA,SUMMER,Action;Adventure;Horror;Psychological;Sci-Fi;Supernatural,Cyberpunk;Post-Apocalyptic;Dystopian;Super Power;Urban;Male Protagonist;Delinquents;Primarily Male Cast;Seinen;Urban Fantasy,79.0,1988-07-16,JP,125.0
Dragon Ball Z,Dragon Ball Z,TV,291.0,24.0,MANGA,SPRING,Action;Adventure;Comedy;Fantasy;Supernatural,Shounen;Super Power;Martial Arts;Henshin;Male Protagonist;Cultivation;Aliens;Space;Primarily Male Cast;Coming of Age,80.0,1989-04-26,JP,6984.0
Dragon Ball Z: Ora no Gohan wo Kaese!!,Dragon Ball Z: Dead Zone,MOVIE,1.0,41.0,MANGA,SUMMER,Action;Adventure;Sci-Fi,Shounen;Super Power;Martial Arts;Male Protagonist;Gods;Aliens;Demons,62.0,1989-07-15,JP,41.0
Dragon Ball Z: Konoyo de Ichiban Tsuyoi Yatsu,Dragon Ball Z: The World's Strongest,MOVIE,1.0,60.0,MANGA,SPRING,Action;Adventure;Sci-Fi,Super Power;Shounen;Primarily Male Cast;Male Protagonist;Martial Arts;Aliens;Robots;Primarily Adult Cast;Revenge,61.0,1990-03-10,JP,60.0
Dragon Ball Z: Chikyuu Marugoto Chou Kessen,Dragon Ball Z: The Tree of Might,MOVIE,1.0,61.0,MANGA,SUMMER,Action;Adventure;Sci-Fi,Shounen;Super Power;Aliens;Martial Arts;Male Protagonist;Dragons,62.0,1990-07-07,JP,61.0
Dragon Ball Z: Super Saiyajin da Son Goku,Dragon Ball Z: Lord Slug,MOVIE,1.0,52.0,MANGA,SPRING,Action;Adventure;Sci-Fi,Shounen;Super Power;Martial Arts;Aliens;Male Protagonist;Henshin;Dragons,61.0,1991-03-19,JP,52.0
Dragon Ball Z: Tobikkiri no Saikyou Tai Saikyou,Dragon Ball Z: Cooler's Revenge,MOVIE,1.0,48.0,MANGA,SUMMER,Action;Adventure;Sci-Fi,Martial Arts;Shounen;Super Power;Aliens;Male Protagonist;Henshin,67.0,1991-07-20,JP,48.0
Dragon Ball Z: Gekitotsu!! 100-oku Power no Senshi-tachi,Dragon Ball Z: The Return of Cooler,MOVIE,1.0,45.0,MANGA,SPRING,Action;Adventure;Sci-Fi,Martial Arts;Super Power;Shounen;Aliens;Henshin;Male Protagonist;Cyborg;Robots,64.0,1992-03-07,JP,45.0
Dragon Ball Z: Kyokugen Battle!! Sandai Super Saiyajin,Dragon Ball Z: Super Android 13!,MOVIE,1.0,45.0,MANGA,SUMMER,Action;Adventure;Sci-Fi,Robots;Shounen;Super Power;Male Protagonist;Martial Arts;Henshin;Aliens,64.0,1992-07-11,JP,45.0
Yuu☆Yuu☆Hakusho,Yu Yu Hakusho: Ghostfiles,TV,112.0,24.0,MANGA,FALL,Action;Adventure;Comedy;Supernatural,Coming of Age;Shounen;Demons;Philosophy;Super Power;Delinquents;Urban Fantasy;Martial Arts;Male Protagonist;Primarily Male Cast,82.0,1992-10-10,JP,2688.0
Dragon Ball Z: Moetsukiro!! Nessen - Ressen - Chou Gekisen,Dragon Ball Z: Broly - The Legendary Super Saiyan,MOVIE,1.0,72.0,MANGA,WINTER,Action;Adventure;Sci-Fi,Shounen;Super Power;Martial Arts;Aliens;Male Protagonist;Henshin,70.0,1993-03-06,JP,72.0
Dragon Ball Z: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,Dragon Ball Z: Bojack Unbound,MOVIE,1.0,50.0,MANGA,SUMMER,Action;Adventure;Sci-Fi,Super Power;Martial Arts;Shounen;Aliens;Male Protagonist;Henshin;Gods,67.0,1993-07-10,JP,50.0
Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,Dragon Ball Z: Plan to Destroy the Saiyans,OVA,2.0,30.0,MANGA,SUMMER,Adventure;Comedy;Sci-Fi,Shounen;Male Protagonist;Martial Arts;Super Power;Henshin,61.0,1993-07-23,JP,60.0
Dragon Ball Z: Kiken na Futari! Super Senshi wa Nemurenai,Dragon Ball Z: Broly - Second Coming,MOVIE,1.0,50.0,MANGA,SPRING,Action;Adventure;Sci-Fi,Super Power;Shounen;Aliens;Martial Arts;Demons;Henshin;Male Protagonist,63.0,1994-03-12,JP,50.0
Dragon Ball Z: Super Senshi Gekiha!! Katsu no wa Ore da,Dragon Ball Z: Bio-Broly,MOVIE,1.0,50.0,MANGA,SUMMER,Action;Adventure;Sci-Fi,Shounen;Super Power;Aliens;Male Protagonist;Martial Arts;Henshin,52.0,1994-07-09,JP,50.0
Dragon Ball Z: Fukkatsu no Fusion!! Goku to Vegeta,Dragon Ball Z: Fusion Reborn,MOVIE,1.0,55.0,MANGA,SPRING,Action;Adventure;Sci-Fi,Shounen;Super Power;Demons;Male Protagonist;Martial Arts;Henshin;Aliens,74.0,1995-03-04,JP,55.0
Dragon Ball Z: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru,Dragon Ball Z: Wrath of the Dragon,MOVIE,1.0,51.0,MANGA,SUMMER,Action;Adventure;Sci-Fi,Martial Arts;Shounen;Demons;Super Power;Aliens;Male Protagonist;Henshin,70.0,1995-07-15,JP,51.0
Shin Seiki Evangelion,Neon Genesis Evangelion,TV,26.0,24.0,ORIGINAL,FALL,Action;Drama;Mecha;Mystery;Psychological;Sci-Fi,Philosophy;Coming of Age;Super Robot;Denpa;Dystopian;Post-Apocalyptic;Angels;Psychosexual;Cosmic Horror;Kaiju,83.0,1995-10-03,JP,624.0
Dragon Ball GT,Dragon Ball GT,TV,64.0,24.0,MANGA,WINTER,Action;Adventure;Comedy;Sci-Fi,Aliens;Age Regression;Henshin;Space;Dragons;Super Power;Martial Arts;Shounen;Male Protagonist;Artificial Intelligence,63.0,1996-02-07,JP,1536.0
Dragon Ball: Saikyou e no Michi,Dragon Ball: The Path to Power,MOVIE,1.0,74.0,MANGA,SPRING,Action;Adventure;Comedy;Sci-Fi,Shounen;Super Power;Martial Arts;Male Protagonist;Military,68.0,1996-03-02,JP,74.0
Pocket Monsters,Pokémon,TV,276.0,24.0,VIDEO_GAME,SPRING,Action;Adventure;Comedy;Fantasy,Proxy Battle;Travel;Creature Taming;Animals;Primarily Child Cast;Kids;Episodic;Male Protagonist;Slavery;Slapstick,72.0,1997-04-01,JP,6624.0
PERFECT BLUE,Perfect Blue,MOVIE,1.0,82.0,OTHER,WINTER,Drama;Horror;Psychological;Thriller,Dissociative Identities;Denpa;Female Protagonist;Acting;Idol;Meta;Primarily Adult Cast;Work;Philosophy;Filmmaking,85.0,1998-02-28,JP,82.0
serial experiments lain,Serial Experiments Lain,TV,13.0,23.0,ORIGINAL,SUMMER,Drama;Mystery;Psychological;Sci-Fi;Supernatural,Denpa;Virtual World;Philosophy;Dissociative Identities;Augmented Reality;Female Protagonist;Memory Manipulation;Artificial Intelligence;Software Development;Cyberpunk,80.0,1998-07-06,JP,299.0
GTO,GTO: Great Teacher Onizuka,TV,43.0,25.0,MANGA,SUMMER,Comedy;Drama;Slice of Life,Teacher;School;Work;Delinquents;Male Protagonist;Coming of Age;Kuudere;Educational;Satire;Bullying,84.0,1999-06-30,JP,1075.0
Yu☆Gi☆Oh! Duel Monsters,Yu-Gi-Oh!,TV,224.0,23.0,MANGA,SPRING,Adventure;Fantasy,Card Battle;Shounen;Proxy Battle;Historical;Urban Fantasy;Mythology;Male Protagonist;Magic;Dissociative Identities;Dragons,72.0,2000-04-18,JP,5152.0
Gakkou no Kaidan,Ghost Stories,TV,19.0,25.0,OTHER,FALL,Horror;Mystery;Supernatural,Ghost;Primarily Child Cast;School;Episodic;Youkai;Male Protagonist;Curses;Female Protagonist;Urban Fantasy;Parody,74.0,2000-10-22,JP,475.0
Sen to Chihiro no Kamikakushi,Spirited Away,MOVIE,1.0,125.0,ORIGINAL,SUMMER,Adventure;Drama;Fantasy;Supernatural,Coming of Age;Female Protagonist;Youkai;Isekai;Shapeshifting;Magic;Urban Fantasy;Mythology;Work;Curses,86.0,2001-07-20,JP,125.0
Azumanga Daiou THE ANIMATION,Azumanga Daioh,TV,26.0,24.0,MANGA,SPRING,Comedy;Slice of Life,School;Primarily Female Cast;Episodic;Slapstick;Surreal Comedy;Cute Girls Doing Cute Things;Female Protagonist;Coming of Age;Ensemble Cast;Primarily Teen Cast,79.0,2002-04-09,JP,624.0
NARUTO,Naruto,TV,220.0,23.0,MANGA,FALL,Action;Adventure;Comedy;Drama;Fantasy;Supernatural,Ninja;Shounen;Coming of Age;Male Protagonist;Super Power;Orphan;Cultivation;Martial Arts;Revenge;Found Family,80.0,2002-10-03,JP,5060.0
Kino no Tabi: the Beautiful World,Kino's Journey,TV,13.0,25.0,LIGHT_NOVEL,SPRING,Adventure;Drama;Fantasy;Psychological;Slice of Life,Philosophy;Episodic;Travel;Foreign;Meta;Motorcycles;Achronological Order;Female Protagonist;Dystopian;Agender,81.0,2003-04-08,JP,325.0
Mousou Dairinin,Paranoia Agent,TV,13.0,24.0,ORIGINAL,WINTER,Drama;Mystery;Psychological;Supernatural;Thriller,Denpa;Crime;Detective;Philosophy;Ensemble Cast;Urban Fantasy;Police;Urban;Meta;Episodic,76.0,2004-02-03,JP,312.0
MONSTER,Monster,TV,74.0,24.0,MANGA,SPRING,Drama;Horror;Mystery;Psychological;Thriller,Crime;Seinen;Detective;Philosophy;Ensemble Cast;Fugitive;Primarily Adult Cast;Noir;Twins;Memory Manipulation,88.0,2004-04-07,JP,1776.0
Bakuretsu Tenshi,Burst Angel,TV,24.0,23.0,ORIGINAL,SPRING,Adventure;Comedy;Mecha;Sci-Fi,Dystopian;Robots;Real Robot;Female Protagonist;Guns;Primarily Female Cast;CGI;Kuudere;Food;Tokusatsu,63.0,2004-05-06,JP,552.0
Genshiken,Genshiken,TV,12.0,25.0,MANGA,FALL,Comedy;Slice of Life,Otaku Culture;School Club;Parody;Cosplay;College;Meta;Ensemble Cast;Primarily Adult Cast;Seinen;Heterosexual,74.0,2004-10-10,JP,300.0
Ichigo Mashimaro,Strawberry Marshmallow,TV,12.0,24.0,MANGA,SUMMER,Comedy;Slice of Life,Cute Girls Doing Cute Things;Primarily Female Cast;Primarily Child Cast;Female Protagonist;School;Surreal Comedy;Language Barrier;Shounen,74.0,2005-07-15,JP,288.0
Jigoku Shoujo,Hell Girl,TV,26.0,25.0,ORIGINAL,FALL,Drama;Horror;Mystery;Psychological;Supernatural,Revenge;Episodic;Female Protagonist;Bullying;Curses;Ghost;Urban;Oiran;Detective;Gore,71.0,2005-10-05,JP,650.0
Mushishi,MUSHI-SHI,TV,26.0,25.0,MANGA,FALL,Adventure;Fantasy;Mystery;Psychological;Slice of Life;Supernatural,Environmental;Youkai;Mythology;Episodic;Philosophy;Rural;Travel;Male Protagonist;Animals;Iyashikei,85.0,2005-10-23,JP,650.0
HELLSING OVA,Hellsing Ultimate,OVA,10.0,50.0,MANGA,WINTER,Action;Horror;Supernatural,Vampire;Gore;Seinen;Urban Fantasy;War;Foreign;Anti-Hero;Primarily Adult Cast;Religion;Military,81.0,2006-02-10,JP,500.0
Joshikousei,Girl's High,TV,12.0,24.0,MANGA,SPRING,Comedy;Drama;Ecchi,School;Seinen;Ensemble Cast;Female Protagonist;Primarily Female Cast;Cute Girls Doing Cute Things,61.0,2006-04-03,JP,288.0
Suzumiya Haruhi no Yuuutsu,The Melancholy of Haruhi Suzumiya,TV,14.0,23.0,LIGHT_NOVEL,SPRING,Comedy;Mystery;Sci-Fi;Slice of Life;Supernatural,School Club;Achronological Order;Urban Fantasy;School;Gods;Primarily Teen Cast;Meta;Aliens;Philosophy;Parody,76.0,2006-04-03,JP,322.0
NANA,NANA,TV,47.0,23.0,MANGA,SPRING,Drama;Music;Romance;Slice of Life,Female Protagonist;Shoujo;Primarily Adult Cast;Band;Coming of Age;Rock Music;Ensemble Cast;Love Triangle;Pregnancy;Netorare,85.0,2006-04-05,JP,1081.0
Higurashi no Naku Koro ni,When They Cry,TV,26.0,24.0,VISUAL_NOVEL,SPRING,Horror;Mystery;Psychological;Supernatural;Thriller,Denpa;Ensemble Cast;Time Loop;Conspiracy;Rural;Achronological Order;Gore;Body Horror;Chibi;Bullying,75.0,2006-04-05,JP,624.0
BLACK LAGOON,Black Lagoon,TV,12.0,24.0,MANGA,SPRING,Action;Adventure;Drama;Thriller,Crime;Guns;Seinen;Primarily Adult Cast;Pirates;Anti-Hero;Gangs;Travel;Ensemble Cast;Mafia,78.0,2006-04-09,JP,288.0
NHK ni Youkoso!,Welcome to the N-H-K,TV,24.0,24.0,LIGHT_NOVEL,SUMMER,Comedy;Drama;Psychological;Romance;Slice of Life,Hikikomori;Rehabilitation;Male Protagonist;Otaku Culture;Conspiracy;Denpa;Philosophy;Suicide;Primarily Adult Cast;Coming of Age,82.0,2006-07-10,JP,576.0
Toki wo Kakeru Shoujo,The Girl Who Leapt Through Time,MOVIE,1.0,97.0,OTHER,SUMMER,Drama;Romance;Sci-Fi,Coming of Age;Female Protagonist;Heterosexual;School;Primarily Teen Cast;Tomboy;Love Triangle;Baseball,78.0,2006-07-15,JP,97.0
DEATH NOTE,Death Note,TV,37.0,23.0,MANGA,FALL,Mystery;Psychological;Supernatural;Thriller,Crime;Detective;Anti-Hero;Male Protagonist;Police;Fugitive;Philosophy;Primarily Adult Cast;Kuudere;Gods,84.0,2006-10-04,JP,851.0
009-1,009-1,TV,12.0,25.0,MANGA,FALL,Action;Mecha;Sci-Fi,Espionage;Assassins;Cyberpunk;Episodic;Cyborg;Robots;Female Protagonist;Politics;Primarily Adult Cast;Seinen,59.0,2006-10-06,JP,300.0
Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion,TV,25.0,24.0,ORIGINAL,FALL,Action;Drama;Mecha;Sci-Fi;Thriller,Anti-Hero;War;Military;Class Struggle;Politics;Super Power;Revenge;Terrorism;Male Protagonist;Real Robot,85.0,2006-10-06,JP,600.0
Jigoku Shoujo: Futakomori,Hell Girl: Two Mirrors,TV,26.0,25.0,ORIGINAL,FALL,Horror;Psychological;Supernatural,Revenge;Bullying;Episodic;Found Family;Curses;Female Protagonist;Mythology;Oiran;Suicide;Demons,75.0,2006-10-06,JP,650.0
Byousoku 5 Centimeter,5 Centimeters per Second,MOVIE,3.0,22.0,ORIGINAL,WINTER,Drama;Romance;Slice of Life,Coming of Age;Heterosexual;Unrequited Love;Denpa;Travel;Trains;Male Protagonist;Female Protagonist;School;Surfing,71.0,2007-02-11,JP,66.0
NARUTO: Shippuuden,Naruto: Shippuden,TV,500.0,23.0,MANGA,WINTER,Action;Adventure;Comedy;Drama;Fantasy;Supernatural,Ninja;Shounen;Super Power;Male Protagonist;Revenge;Orphan;War;Coming of Age;Martial Arts;Conspiracy,82.0,2007-02-15,JP,11500.0
