title,english_title,type,episodes,duration,source,season,genres,tags,score,start_date,country_of_origin
Chibikko Remi to Meiken Kapi,,MOVIE,1.0,81.0,OTHER,SPRING,Adventure;Drama;Slice of Life,,48.0,1970-03-17,JP
Tiger Mask (Movie),,MOVIE,1.0,50.0,MANGA,SPRING,,Wrestling,52.0,1970-03-17,JP
"""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu",,MOVIE,1.0,12.0,OTHER,WINTER,,,73.0,1970-03-21,JP
Yasashii Lion,,MOVIE,1.0,27.0,OTHER,SPRING,Drama;Fantasy,Circus;Kids;Coming of Age;Musical Theater;Fairy Tale;Animals;Orphan,50.0,1970-03-21,JP
Attack No.1 (1970),,MOVIE,1.0,65.0,OTHER,SPRING,Drama;Sports,Shoujo;Volleyball;Female Protagonist,60.0,1970-03-21,JP
Kyojin no Hoshi: Dai League Ball,,MOVIE,1.0,70.0,MANGA,SPRING,Drama;Sports,Shounen;Baseball,73.0,1970-03-21,JP
Itazura Tenshi Chippo-chan,,TV_SHORT,240.0,5.0,ORIGINAL,SPRING,Comedy,Achromatic;Kids,53.0,1970-03-30,JP
Doubutsu Mura Monogatari,,TV_SHORT,100.0,5.0,ORIGINAL,SPRING,,Animals;Kids,53.0,1970-03-30,JP
Ashita no Joe,Tomorrow's Joe,TV,79.0,25.0,MANGA,SPRING,Action;Drama;Slice of Life;Sports,Boxing;Coming of Age;Delinquents;Anti-Hero;Male Protagonist;Shounen;Class Struggle;Primarily Male Cast;Rehabilitation;Ojou-sama,81.0,1970-04-01,JP
Bakuhatsu Gorou,,TV,26.0,25.0,OTHER,SPRING,Comedy;Sports,Male Protagonist;School Club;School;Judo;Bullying;Delinquents;Football;Baseball;Martial Arts,45.0,1970-04-03,JP
Otanoshimi Anime Gekijou,,TV,26.0,54.0,OTHER,SPRING,Comedy,,61.0,1970-04-05,JP
Konchuu Monogatari Minashigo Hutch,The Adventures of Hutch the Honeybee,TV,91.0,24.0,ORIGINAL,SPRING,Adventure;Comedy;Drama,Kids;Animals;War,64.0,1970-04-07,JP
Akakichi no Eleven,,TV,52.0,25.0,MANGA,SPRING,Sports,Football;School;Delinquents;Shounen,50.0,1970-04-13,JP
Kaitei Sanman Mile,,MOVIE,1.0,60.0,OTHER,SUMMER,Adventure;Fantasy,Kaiju;Lost Civilization;Environmental;Scuba Diving;Ships,54.0,1970-07-19,JP
Tiger Mask Fuku Men League Sen,Tiger Mask: War against the League of Masked Wrestlers,MOVIE,1.0,55.0,MANGA,SUMMER,,Wrestling,51.0,1970-07-19,JP
Attack No.1: Namida no Kaiten Receive,,MOVIE,1.0,60.0,OTHER,SUMMER,Drama;Sports,Shoujo;Volleyball;Female Protagonist;Primarily Female Cast,50.0,1970-08-01,JP
Kyojin no Hoshi: Shukumei no Taiketsu,,MOVIE,1.0,60.0,MANGA,SUMMER,Drama;Sports,Shounen;Baseball,73.0,1970-08-01,JP
Ijiwaru Baa-san,,TV,39.0,25.0,MANGA,FALL,Comedy;Slice of Life,,61.0,1970-09-03,JP
